No;Brand;Phone Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
1;HONOR;Honor 300 Pro;https://www.gsmarena.com/honor_300_pro-13538.php;N/A;N/A;"100W wired, 59% in 15 min
80W wireless, 39% in 15 min
5W reverse wired
Reverse wireless";Si/C Li-Ion 5300 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;163.8 x 75.3 x 8.2 mm (6.45 x 2.96 x 0.32 in);Nano-SIM + Nano-SIM;199 g (7.02 oz);5.3, A2DP, LE, aptX HD;Yes;Yes;GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;N/A;1224 x 2700 pixels (~437 ppi density);6.78 inches, 111.5 cm2 (~90.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR, 1200 nits (HBM), 4000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity;2024, December 02;Available. Released 2024, December 07;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/2.0, (wide), 1/1.56"", 1.0µm, PDAF, OIS
50 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 112˚ (ultrawide), AF";4K, 1080p, gyro-EIS, OIS;N/A;No;256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Black, White, Green;AMP-AN00;About 480 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x3.0 GHz Cortex-X4 & 5x2.95 GHz Cortex-A720 & 2x2.0 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 15, MagicOS 9;"50 MP, f/2.1, (wide)
2 MP, f/2.4, (depth)";HDR;N/A;4K, 1080p, gyro-EIS;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
2;HONOR;Honor 90 Pro;https://www.gsmarena.com/honor_90_pro-12296.php;N/A;N/A;"90W wired, 3-56% in 15 min
5W reverse wired";Li-Po 5000 mAh;N/A;N/A;163.8 x 74.9 x 8.1 mm (6.45 x 2.95 x 0.32 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.2, A2DP, LE, aptX HD;N/A;Yes;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;N/A;1224 x 2700 pixels (~437 ppi density);6.78 inches, 111.5 cm2 (~90.9% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR, 1600 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity;2023, May 29;Available. Released 2023, June 07;N/A;LED flash, HDR, panorama;N/A;N/A;"200 MP, f/1.9, (wide), 1/1.4"", 0.56µm, PDAF
32 MP, f/2.4, (telephoto), PDAF, OIS, 2.5x optical zoom
12 MP, f/2.2, 112˚ (ultrawide), AF";4K@30fps, 1080p@30/60fps, gyro-EIS;N/A;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM;Midnight Black, Emerald Green, Diamond Silver, Peacock Blue;REP-AN00;About 440 EUR;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 8, 19, 28, 34, 38, 39, 40, 41;1, 5, 8, 28, 41, 77, 78 SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Adreno 730;Android 13, MagicOS 7.1;"50 MP, f/2.4, 100˚, (ultrawide)
2 MP, f/2.4, (depth)";HDR;N/A;4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3;HONOR;Honor 70;https://www.gsmarena.com/honor_70-11575.php;N/A;N/A;"66W wired, 60% in 20 min
5W reverse wired";Li-Po 4800 mAh;N/A;Glass front, plastic frame, plastic back;161.4 x 73.3 x 7.9 mm (6.35 x 2.89 x 0.31 in);Nano-SIM + Nano-SIM;178 g (6.28 oz);5.2, A2DP, LE, aptX HD;N/A;Yes;GPS, GLONASS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~90.8% screen-to-body ratio);OLED, 1B colors, 120Hz, HDR10+;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2022, May 30;Available. Released 2022, June 02;N/A;Dual-LED flash, HDR, panorama;N/A;N/A;"54 MP, f/1.9, (wide), 1/1.49"", PDAF
50 MP, f/2.2, 122˚ (ultrawide), AF
2 MP, f/2.4, (depth)";4K@30fps, 1080p@30/60fps, gyro-EIS;N/A;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Midnight Black, Emerald Green, Icelandic Frost, Crystal Silver;FNE-AN00, FNE-NX9;$ 785.00 / € 149.40 / £ 185.00;N/A;1, 5, 8, 28, 41, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x2.5 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55);Qualcomm SM7325-AE Snapdragon 778G+ 5G (6 nm);Adreno 642L;Android 12, Magic UI 6.1;N/A;HDR;32 MP, f/2.4, (wide);1080p@30fps, gyro-EIS;N/A;No;Yes;N/A;N/A;Endurance rating 100h;Photo / Video;790 nits max brightness (measured);-29.4 LUFS (Average);N/A
4;HONOR;Honor Magic V2;https://www.gsmarena.com/honor_magic_v2-12383.php;N/A;N/A;"66W wired
5W reverse wired";Si/C Li-Ion 5000 mAh;Stylus support;Glass front, glass back or eco leather back, magnesium alloy frame, titanium alloy folding mechanism;Unfolded: 156.7 x 145.4 x 4.7 mm or 4.8 mmFolded: 156.7 x 74.1 x 9.9 mm or 10.1 mm;Nano-SIM + eSIMNano-SIM + Nano-SIM;231 g or 237 g (8.15 oz);5.3, A2DP, LE, aptX HD;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.1, OTG, Display Port 1.2;Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct;"Cover display:
LTPO OLED, 1B colors, 120Hz, HDR10+, 2500 nits
6.43 inches, 1060 x 2376 pixels, 402 ppi, nanocrystal glass 2.0";N/A;2156 x 2344 pixels (~402 ppi density);7.92 inches, 201.6 cm2 (~88.5% screen-to-body ratio);Foldable LTPO OLED, 1B colors, 120Hz, HDR10+, 1600 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2023, July 12;Available. Released 2023, July 27;N/A;Multi-zone Laser AF (8x8 dToF), color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.9, (wide), PDAF, OIS
20 MP, f/2.4, 62mm (telephoto), PDAF, 2.5x optical zoom, OIS
50 MP, f/2.0, 13mm (ultrawide), AF";4K@30/60fps (10-bit), 1080p@30/60fps, gyro-EIS, HDR10+, OIS;N/A;No;256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, Silk Black, Silk Purple, Gold;VER-AN10, VER-N49;$ 899.00 / € 872.00 / £ 723.48;0.85 W/kg (head)     1.29 W/kg (body);CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66;1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x3.19 GHz (INTL) / 1x3.36 GHz (CN) Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm) - IntlQualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm) - China;Adreno 740;Android 13, upgradable to Android 14, MagicOS 8;N/A;HDR;16 MP, f/2.2, (wide);4K@30fps, 1080p@30fps, gyro-EIS;"24-bit/192kHz Hi-Res audio
IMAX Enhanced";No;Yes, with stereo speakers;N/A;Active use score 10:35h;N/A;N/A;933 nits max brightness (measured);-27.4 LUFS (Good);"AnTuTu: 1551239 (v10)
GeekBench: 4959 (v6)
3DMark: 3732 (Wild Life Extreme)"
5;HONOR;Honor X9c;https://www.gsmarena.com/honor_x9c-13490.php;N/A;N/A;"66W wired
Reverse wired";Si/C Li-Ion 6600 mAh;"IP65M dust tight and water resistant (low pressure water jets)
Drop resistant up to 2m";N/A;162.8 x 75.5 x 8 mm (6.41 x 2.97 x 0.31 in);Nano-SIM + Nano-SIM;189 g (6.67 oz);5.1, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1224 x 2700 pixels (~437 ppi density);6.78 inches, 111.5 cm2 (~90.7% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 3840Hz PWM, 4000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, November 05;Available. Released 2024, November 15;N/A;LED flash, panorama, HDR;N/A;N/A;"108 MP, f/1.8, (wide), 1/1.67"", PDAF, OIS
5 MP, f/2.2, (ultrawide)";4K@30fps, 1080p@30fps;N/A;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Titanium Purple, Titanium Black, Jade Cyan;N/A;$ 599.00 / £ 485.00;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55);Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);Adreno 710;Android 14, Magic OS 8;N/A;N/A;16 MP, f/2.5, (wide);1080p@30fps;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
6;HONOR;Honor X8c;https://www.gsmarena.com/honor_x8c-13621.php;N/A;N/A;35W wired;Li-Po 5000 mAh;"IP64 dust tight and water resistant (water splashes); (up to 0.25m for 3 min, 0.5m for 1 min)
Drop resistant up to 1.8m";Glass front, plastic frame, plastic back or silicone polymer back (eco leather);161.1 x 74.6 x 7.1 mm (6.34 x 2.94 x 0.28 in);Nano-SIM + Nano-SIM;174 g (6.14 oz);5.0/5.1, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.9% screen-to-body ratio);AMOLED, 120Hz, 1200 nits (HBM), 2800 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, compass, proximity (ultrasonic);2025, January 14;Available. Released 2025, January 20;"108 MP, f/1.8, 24mm (wide), 1/1.67"", PDAF, OIS
5 MP, f/2.2, (ultrawide)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps, gyro-EIS;N/A;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;Marrs Green, Midnight Black, Moonlight White, Cloud Purple;ABR-LX1, ABR-LX2, ABR-LX3;€ 229.00 / £ 199.00;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53);Qualcomm SM6225 Snapdragon 685 (6 nm);Adreno 610;Android 15, MagicOS 9;N/A;N/A;50 MP, f/2.1, (wide);1080p@30fps;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
7;HONOR;Honor X8b;https://www.gsmarena.com/honor_x8b-12748.php;N/A;N/A;35W wired;Li-Po 4500 mAh;N/A;N/A;161.1 x 74.6 x 6.8 mm (6.34 x 2.94 x 0.27 in);Nano-SIM + Nano-SIM;166 g (5.86 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.9% screen-to-body ratio);AMOLED, 90Hz, 1200 nits (HBM), 2000 nits (peak);Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2023, December 14;Available. Released 2023, December 22;N/A;LED flash, HDR, panorama;N/A;N/A;"108 MP, f/1.8, 24mm (wide), 1/1.67"", PDAF
5 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)";1080p@30fps;N/A;No;128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;Glamorous Green, Titanium Silver, Midnight Black, Blue;LLY-LX1, LLY-LX2, LLY-LX3;$ 187.40 / € 188.46;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver);Qualcomm SM6225 Snapdragon 680 4G (6 nm);Adreno 610;Android 13, MagicOS 7.2;N/A;LED flash;50 MP, f/2.1, (wide);1080p@30fps;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
8;HONOR;Honor X5;https://www.gsmarena.com/honor_x5-12093.php;N/A;N/A;N/A;Li-Po 5000 mAh;N/A;Glass front, plastic back, plastic frame;164 x 75.6 x 8.9 mm (6.46 x 2.98 x 0.35 in);Nano-SIM + Nano-SIM;193 g (6.81 oz);5.1, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;Unspecified;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.5 inches, 102.0 cm2 (~82.3% screen-to-body ratio);TFT LCD;N/A;Accelerometer, proximity;2023, January 24;Available. Released 2023, February 14;N/A;LED flash;N/A;8 MP, f/2.0, (wide), AF;N/A;1080p@30fps;N/A;microSDXC;32GB 2GB RAM;Sunrise Orange, Ocean Blue, Midnight Black;VNA-LX2, VNA-LX3;About 90 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);Mediatek MT6762 Helio G25 (12 nm);PowerVR GE8320;Android 12 (Go edition);N/A;N/A;5 MP, f/2.2, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
9;HONOR;Honor X5 Plus;https://www.gsmarena.com/honor_x5_plus-12645.php;N/A;N/A;10W wired;Li-Po 5200 mAh;N/A;N/A;163.3 x 75.1 x 8.4 mm (6.43 x 2.96 x 0.33 in);Nano-SIM + Nano-SIM;188 g (6.63 oz);5.1, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~84.3% screen-to-body ratio);TFT LCD, 90Hz;N/A;Fingerprint (side-mounted), accelerometer, proximity;2023, August 16;Available. Released 2023, August;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;N/A;microSDXC;64GB 4GB RAM, 128GB 4GB RAM;Cyan Lake, Midnight Black;WOD-LX1, WOD-LX2, WOD-LX3;About 100 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53);Mediatek Helio G36 (12 nm);PowerVR GE8320;Android 13, MagicOS 7.1;N/A;N/A;5 MP, f/2.2, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
10;HONOR;Honor X6b;https://www.gsmarena.com/honor_x6b-13143.php;N/A;N/A;35W wired, 31% in 20 min;Li-Po 5200 mAh;N/A;N/A;163.6 x 75.3 x 8.4 mm (6.44 x 2.96 x 0.33 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.1, A2DP, LE, aptX HD;N/A;Yes (JDY-LX1 only);GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~83.9% screen-to-body ratio);TFT LCD, 90Hz, 780 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, proximity;2024, June 13;Available. Released 2024, June;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;N/A;microSDXC;128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM;Forest Green, Starry Purple, Ocean Cyan, Midnight Black;JDY-LX1, JDY-LX2;$ 339.00 / € 99.00 / £ 79.99;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G85 (12 nm);Mali-G52 MC2;Android 14, Magic OS 8;N/A;N/A;5 MP, f/2.2, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
11;HONOR;Honor 10 Lite;https://www.gsmarena.com/honor_10_lite-9403.php;N/A;N/A;10W wired;Li-Po 3400 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in);Nano-SIMNano-SIM + Nano-SIM;162 g (5.71 oz);4.2, A2DP, LE;N/A;Yes (market dependent);GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct - GlobalWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct - China;N/A;N/A;1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density);6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, proximity, compass;2018, November. Released 2018, November;Discontinued;"13 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30/60fps;eMMC 5.1;microSDXC (uses shared SIM slot);32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM, 128GB 3GB RAM, 128GB 6GB RAM;Midnight Black, Sky Blue, Sapphire Blue, White, Red;HRY-LX1, HRY-LX1MEB, HRY-LX2, HRY-AL00a, HRY-AL00, HRY-TL00;About 180 EUR;N/A;N/A;GSM 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710 (12 nm);Mali-G51 MP4;Android 9.0 (Pie), EMUI 9.1;N/A;HDR;"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm";1080p@30fps;N/A;Yes;Yes;Noise -90.2dB / Crosstalk -82.7dB;N/A;Endurance rating 89h;Photo / Video;Contrast ratio: 1282 (nominal), 2.497 (sunlight);Voice 70dB / Noise 73dB / Ring 87dB;N/A
12;HONOR;Honor X9a;https://www.gsmarena.com/honor_x9a-12075.php;N/A;N/A;40W wired;Li-Po 5100 mAh;N/A;N/A;161.6 x 73.9 x 7.9 mm (6.36 x 2.91 x 0.31 in);Nano-SIM + Nano-SIM;175 g (6.17 oz);5.1, A2DP, LE, aptX HD;Yes;Yes;GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~89.9% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 800 nits (HBM);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, January 04;Available. Released 2023, January 06;"64 MP, f/1.8, (wide), PDAF
5 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)";LED flash, panorama, HDR;N/A;N/A;N/A;1080p@30fps;N/A;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Titanium Silver, Emerald Green, Midnight Black;RMO-NX1;About 400 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Qualcomm SM6375 Snapdragon 695 5G (6 nm);Adreno 619;Android 12, upgradable to Android 13, MagicOS 7;N/A;N/A;16 MP, f/2.5, (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
