No;Brand;Phone Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
11;Huawei;Huawei Mate 10 Pro;https://www.gsmarena.com/huawei_mate_10_pro-8854.php;N/A;N/A;22.5W wired, 58% in 30 min;Li-Po 4000 mAh, non-removable;IP67 dust/water resistant (up to 1m for 30 min);Glass front (Gorilla Glass), glass back, aluminum frame;154.2 x 74.5 x 7.9 mm (6.07 x 2.93 x 0.31 in);Nano-SIMNano-SIM + Nano-SIM;178 g (6.28 oz);4.2, A2DP, aptX HD, LE;Yes;Yes;GPS, GLONASS, BDS;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct;Corning Gorilla Glass (unspecified version);1080 x 2160 pixels, 18:9 ratio (~402 ppi density);6.0 inches, 92.9 cm2 (~80.9% screen-to-body ratio);OLED, HDR10;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass;2017, October. Released 2017, November;Discontinued;"12 MP, f/1.6, 27mm (wide), 1/2.9"", 1.25µm, PDAF, OIS
20 MP B/W, f/1.6, 27mm (wide), 1/2.7""";Laser AF, Leica optics, dual-LED dual-tone flash, panorama, HDR;N/A;N/A;N/A;4K@30fps, 1080p@30/60fps;UFS 2.1;No;64GB 4GB RAM, 128GB 6GB RAM;Midnight Blue, Titanium Gray, Mocha Brown, Pink Gold;BLA-L29, BLA-L09, BLA-AL00, BLA-A09, BLA-TL00;About 450 EUR;N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40;N/A;HSPA 42.2/5.76 Mbps, LTE (3CA) Cat18 1200/150 Mbps;GSM / HSPA / LTE;Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53);Kirin 970 (10 nm);Mali-G72 MP12;Android 8.0 (Oreo), upgradable to Android 10, EMUI 10.2;N/A;N/A;"8 MP, f/2.0, 26mm (wide), 1/3.2"", 1.4µm, AF";1080p@30fps;32-bit/384kHz audio;No;Yes, with stereo speakers;Noise -93.5dB / Crosstalk -93.4dB;Endurance rating 96h;Photo / Video;Contrast ratio: Infinity (nominal), 4.096 (sunlight);Voice 70dB / Noise 73dB / Ring 84dB;"GeekBench: 6783 (v4.4)
GFXBench: 21fps (ES 3.1 onscreen)"
12;Huawei;Huawei P40 lite;https://www.gsmarena.com/huawei_p40_lite-9996.php;N/A;N/A;40W wired, 70% in 30 min;Li-Po 4200 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in);Nano-SIM + Nano-SIM;183 g (6.46 oz);5.0, A2DP, LE;N/A;Yes (market/region dependent): JNY-L21A, JNY-L01A, JNY-L21B;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2310 pixels (~398 ppi density);6.4 inches, 101.4 cm2 (~83.5% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2020, February 27;Available. Released 2020, March 02;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.4, (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;1080p@30fps;UFS 2.1;Nano Memory (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM;Black, Emerald Green, Light Pink/Blue, Skyline Gray;JNY-L21A, JNY-L01A, JNY-L21B, JNY-L22A, JNY-L02A, JNY-L22B, JNY-LX1;About 170 EUR;1, 2, 3, 4, 5, 7, 8, 18, 19, 28, 34, 38, 39, 40, 41 - JNY-L22A, JNY-L02A, JNY-L22B;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 34, 38, 39, 40, 41 - JNY-L21A, JNY-L01A, JNY-L21B;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 400/75 Mbps;GSM / HSPA / LTE;Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55);Kirin 810 (7 nm);Mali-G52 MP6;Android 10, EMUI 10, no Google Play Services;N/A;HDR;"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm";1080p@30fps;N/A;Yes;Yes;N/A;Endurance rating 121h;Photo / Video;1085:1 contrast ratio, 515 nits max brightness (measured);-27.0 LUFS (Good);"AnTuTu: 325777 (v8)
GeekBench: 7846 (v4.4), 1862 (v5.1)
GFXBench: 18fps (ES 3.1 onscreen)"
13;Huawei;Huawei nova 7i;https://www.gsmarena.com/huawei_nova_7i-10058.php;N/A;N/A;40W wired, 70% in 30 min;Li-Po 4200 mAh;N/A;Glass front, plastic back, plastic frame;159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in);Nano-SIMNano-SIM + Nano-SIM;183 g (6.46 oz);5.1, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio (market/region dependent);USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2310 pixels (~398 ppi density);6.4 inches, 101.4 cm2 (~83.5% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2020, January 30;Available. Released 2020, February 14;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.4, (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;1080p@30fps;UFS 2.1;Nano Memory (uses shared SIM slot);128GB 8GB RAM;Midnight Black, Crush Green, Sakura Pink;JNY-L22B, JNY-L21A, JNY-L01A, JNY-L21B, JNY-L22A, JNY-L02A, JNY-LX2;About 240 EUR;1, 2, 3, 4, 5, 7, 8, 18, 19, 28, 34, 38, 39, 40, 41 - JNY-L22A, JNY-L02A, JNY-L22B;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 34, 38, 39, 40, 41 - JNY-L21A, JNY-L01A, JNY-L21B;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 400/75 Mbps;GSM / CDMA / HSPA / LTE;Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55);Kirin 810 (7 nm);Mali-G52 MP6;Android 10, EMUI 10, no Google Play Services;N/A;HDR;"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm";1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A
14;Huawei;Huawei Mate 20;https://www.gsmarena.com/huawei_mate_20-9367.php;N/A;N/A;22.5W wired, 58% in 30 min;Li-Po 4000 mAh, non-removable;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front, glass back, aluminum frame;158.2 x 77.2 x 8.3 mm (6.23 x 3.04 x 0.33 in);Nano-SIMNano-SIM + Nano-SIM;188 g (6.63 oz);5.0, A2DP, aptX HD, LE;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);FM radio;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct;N/A;1080 x 2244 pixels, 18.7:9 ratio (~381 ppi density);6.53 inches, 107.5 cm2 (~88.0% screen-to-body ratio);IPS LCD, HDR10;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass;2018, October. Released 2018, November;Discontinued;N/A;Laser AF, Leica optics, dual-LED dual-tone flash, panorama, HDR;N/A;N/A;"12 MP, f/1.8, 27mm (wide), 1/2.3"", PDAF
8 MP, f/2.4, 54mm (telephoto), PDAF, 2x optical zoom
16 MP, f/2.2, 17mm (ultrawide)";4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps;UFS 2.1;Nano Memory (uses shared SIM slot);64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Midnight Blue, Twilight, Black, Emerald Green, Pink Gold;HMA-L29, HMA-L09, HMA-LX9, HMA-AL00, HMA-TL00;About 460 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40;N/A;HSPA 42.2/5.76 Mbps, LTE Cat21 1400/200 Mbps;GSM / HSPA / LTE;Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55);Kirin 980 (7 nm);Mali-G76 MP10;Android 9.0 (Pie), EMUI 9.1;N/A;HDR;"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm";1080p@30fps;32-bit/384kHz audio;Yes;Yes, with stereo speakers;Noise -92.1dB / Crosstalk -85.6dB;Endurance rating 92h;Photo / Video;Contrast ratio: 1415:1 (nominal), 3.052 (sunlight);Voice 74dB / Noise 70dB / Ring 82dB;"AnTuTu: 273913 (v7)
GeekBench: 9793 (v4.4)
GFXBench: 28fps (ES 3.1 onscreen)"
15;Huawei;Huawei P20 lite;https://www.gsmarena.com/huawei_p20_lite-9098.php;N/A;N/A;18W wired;Li-Po 3000 mAh, non-removable;N/A;Glass front, glass back, aluminum frame;148.6 x 71.2 x 7.4 mm (5.85 x 2.80 x 0.29 in);Nano-SIMNano-SIM + Nano-SIM;145 g (5.11 oz);4.2, A2DP, LE, EDR, aptX HD;N/A;Yes (LX1 only);GPS, GLONASS, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 b/g/n (LX2/LX3) or a/b/g/n/ac (LX1/LX2J), Wi-Fi Direct;N/A;1080 x 2280 pixels, 19:9 ratio (~432 ppi density);5.84 inches, 85.1 cm2 (~80.5% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, gyro (except LX2, AL00), proximity, compass;2018, March 20. Released 2018, March 26;Discontinued;"16 MP, f/2.2, 1/3.1"", 1.0µm, PDAF
2 MP, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM;Klein Blue, Sakura Pink, Midnight Black;NE-TL00, ANE-LX1, ANE-LX2, ANE-LX3, ANE-LX2J, ANE-AL00, ANE-L23, ANE-L22, ANE-L21, HWV32, ANE-TL00, ANY-LX2;About 240 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps;GSM / HSPA / LTE;Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53);Kirin 659 (16 nm);Mali-T830 MP2;Android 8.0 (Oreo), upgradable to Android 9.0 (Pie), EMUI 9.0;N/A;N/A;"16 MP, f/2.0, 28mm (wide), 1/2.8"", 1.12µm
24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm (AL00 for India; TL00 for China)";1080p@30fps;N/A;Yes;Yes;Noise -87.9dB / Crosstalk -82.1dB;Endurance rating 77h;Photo / Video;Contrast ratio: 1785:1 (nominal), 2.952 (sunlight);Voice 66dB / Noise 71dB / Ring 84dB;"AnTuTu: 87431 (v7)
GeekBench: 3756 (v4.4)
GFXBench: 2.8fps (ES 3.1 onscreen)"
16;Huawei;Huawei P40;https://www.gsmarena.com/huawei_p40-10153.php;N/A;N/A;22.5W wired;Li-Po 3800 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front, glass back, aluminum frame;148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;175 g (6.17 oz);5.1, A2DP, LE;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density);6.1 inches, 91.3 cm2 (~86.3% screen-to-body ratio);OLED;N/A;Infrared Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2020, March 26;Available. Released 2020, April 07;N/A;Leica optics, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS
8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom
16 MP, f/2.2, 17mm (ultrawide), AF";"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS";UFS 3.0;Nano Memory (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black;ANA-AN00, ANA-TN00, ANA-NX9, ANA-LX4;About 520 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55);Kirin 990 5G (7 nm+);Mali-G76 MP16;Android 10, EMUI 12, no Google Play Services;N/A;HDR;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm
IR TOF 3D, (biometrics sensor only)";4K@30/60fps, 1080p@30/60fps;N/A;No;Yes;N/A;Endurance rating 89h;Photo / Video;589 nits max brightness (measured);-28.9 LUFS (Average);"AnTuTu: 486583 (v8)
GeekBench: 12619 (v4.4), 3148 (v5.1)
GFXBench: 37fps (ES 3.1 onscreen)"
17;Huawei;Huawei P30 lite;https://www.gsmarena.com/huawei_p30_lite-9545.php;N/A;N/A;18W wired;Li-Po 3340 mAh, non-removable;N/A;Glass front, glass back, plastic frame;152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in);Nano-SIMNano-SIM + Nano-SIM;159 g (5.61 oz);4.2, A2DP, LE, aptX HD;N/A;Yes - MAR-L21MEA, MAR-LX1M only;GPS, GLONASS, BDS;FM radio (market dependent);USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2312 pixels, 19.3:9 ratio (~415 ppi density);6.15 inches, 93.6 cm2 (~84.2% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, March 27. Released 2019, April 25;Discontinued;N/A;LED flash, HDR, panorama;N/A;N/A;"48 MP, f/1.8, 27mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, 17mm (ultrawide)
2 MP, f/2.4, (depth)
or
24 MP, f/1.8, (wide), PDAF
8 MP, 17mm (ultrawide)
2 MP, f/2.4, (depth)";1080p@30fps (gyro-EIS);eMMC 5.1;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM;Peacock Blue, Midnight Black, Pearl White;MAR-LX1M, MAR-AL00, MAR-TL00, MAR-LX2, Marie-L21A, Marie-L01A, Marie-L21MEA, Marie-L22A, MAR-LX1A, MAR-LX3A, MAR-LX2J, MAR-LX1B, MAR-LX3Bm, MAR-LX3Am;About 420 EUR;1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - Canada;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Europe, Canada;1, 3, 4, 7, 8, 20, 38 - Europe;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 400/50 Mbps;GSM / HSPA / LTE;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710 (12 nm);Mali-G51 MP4;Android 9.0 (Pie), upgradable to Android 10, EMUI 10.0;N/A;Panorama;"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm
or
32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm";1080p@30fps;N/A;Yes;Yes;Noise -94.4dB / Crosstalk -71.2dB;Endurance rating 94h;Photo / Video;1231:1 contrast ratio, 501 nits max brightness (measured);Voice 71dB / Noise 73dB / Ring 83dB;"AnTuTu: 141600 (v7)
GeekBench: 5549 (v4.4)
GFXBench: 6.9fps (ES 3.1 onscreen)"
18;Huawei;Huawei nova 8i;https://www.gsmarena.com/huawei_nova_8i-11002.php;N/A;N/A;66W wired, 60% in 17 min, 100% in 38 min;Li-Po 4300 mAh;N/A;N/A;161.9 x 74.7 x 8.6 mm (6.37 x 2.94 x 0.34 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2376 pixels (~391 ppi density);6.67 inches, 108.1 cm2 (~89.4% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2021, July 07;Available. Released 2021, July 22;N/A;LED flash, Panorama, HDR;"64 MP, f/1.9, 26mm (wide), PDAF
8 MP, f/2.4, 120˚, 17mm (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;1080p@30fps;N/A;No;128GB 6GB RAM, 128GB 8GB RAM;Moonlight Silver, Interstellar Blue, Starry Black;NEN-L22, NEN-LX1, NEN-LX3;About 200 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SM6115 Snapdragon 662 (11 nm);Adreno 610;Android 10, EMUI 11, no Google Play Services;N/A;HDR;16 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A
19;Huawei;Huawei P30 Pro;https://www.gsmarena.com/huawei_p30_pro-9635.php;N/A;N/A;"40W wired, 70% in 30 min
15W wireless
2.5W reverse wireless";Li-Po 4200 mAh, non-removable;IP68 dust tight and water resistant (immersible up to 2m for 30 min);Glass front (Aluminosilicate glass), glass back (Aluminosilicate glass), aluminum frame;158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in);Nano-SIMNano-SIM + Nano-SIM;192 g (6.77 oz);5.0, A2DP, aptX HD, LE;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density);6.47 inches, 102.8 cm2 (~88.6% screen-to-body ratio);OLED, HDR10;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2019, March 26. Released 2019, March 26;Discontinued;N/A;Leica optics, color spectrum sensor, dual-LED dual-tone flash, panorama, HDR;N/A;N/A;"40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS
8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom
20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF
TOF 3D, (depth)";4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps;UFS 2.1;Nano Memory (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White, Misty Lavender, Mystic Blue;VOG-L29, VOG-L09, VOG-AL00, VOG-TL00, VOG-L04, VOG-AL10, HW-02L;About 670 EUR;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 66;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40;N/A;HSPA 42.2/5.76 Mbps, LTE Cat21 1400/200 Mbps;GSM / HSPA / LTE;Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55);Kirin 980 (7 nm);Mali-G76 MP10;Android 9.0 (Pie), upgradable to Android 10, EMUI 10;N/A;HDR;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm";1080p@30fps;32-bit/384kHz audio;No;Yes;Noise -90.5dB / Crosstalk -93.0dB;Endurance rating 100h;Photo / Video;Contrast ratio: Infinite (nominal), 5.119 (sunlight);-28.1 LUFS (Average);"AnTuTu: 316156 (v7), 401208 (v8)
GeekBench: 10014 (v4.4), 2521 (v5.1)
GFXBench: 29fps (ES 3.1 onscreen)"
