No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Standby;Battery_Talktime;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Performance
16;Lenovo;Lenovo Tab M10 HD Gen 2;https://www.gsmarena.com/lenovo_tab_m10_hd_gen_2-10406.php;N/A;N/A;10W wired;N/A;N/A;Li-Po 5000 mAh;N/A;N/A;241.5 x 149.4 x 8.3 mm (9.51 x 5.88 x 0.33 in);Nano-SIM (cellular model only);420 g (14.82 oz);5.0, LE;No;GPS, GLONASS - cellular model only;FM radio;USB Type-C 2.0, OTG, magnetic connector;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;800 x 1280 pixels, 16:10 ratio (~149 ppi density);10.1 inches, 295.8 cm2 (~82.0% screen-to-body ratio);IPS LCD, 400 nits (typ);N/A;Accelerometer, proximity;2020, August 31;Available. Released 2020, November;N/A;N/A;N/A;8 MP, AF;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);32GB 2GB RAM, 64GB 4GB RAM;Iron Gray, Platinum Gray;TB-X306X;About 170 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6762 Helio P22T (12 nm);PowerVR GE8320;Android 10;5 MP;;N/A;Yes;Yes, with stereo speakers;N/A
17;Lenovo;Lenovo Legion Y700 (2023);https://www.gsmarena.com/lenovo_legion_y700_(2023)-12476.php;N/A;N/A;45W wired;N/A;N/A;Li-Po 6550 mAh;N/A;N/A;208.9 x 129.5 x 7.6 mm (8.22 x 5.10 x 0.30 in);No;350 g (12.35 oz);Yes;No;No;Unspecified;2x USB Type-C 3.1 Gen2, DisplayPort 1.4;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1600 x 2560 pixels, 16:10 ratio (~343 ppi density);8.8 inches, 224.5 cm2 (~83.0% screen-to-body ratio);IPS LCD, 144Hz, Dolby Vision, HDR10, 500 nits (typ);N/A;Accelerometer, gyro, proximity, compass;2023, July 22;Available. Released 2023, July 22;N/A;"13 MP, (wide)
2 MP, (macro)";LED flash;N/A;1080p@30fps;UFS;microSDXC (dedicated slot);256GB 12GB RAM, 512GB 16GB RAM;Gray;N/A;About 600 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Qualcomm SM8475P Snapdragon 8+ Gen 1 (4 nm);Adreno 730;Android 13, ZUI 14;8 MP;1080p@30fps;Tuned by JBL;No;Yes, with stereo speakers;N/A
18;Lenovo;Lenovo Tab P11;https://www.gsmarena.com/lenovo_tab_p11-10686.php;N/A;N/A;20W wired;N/A;N/A;Li-Po 7700 mAh;Stylus support;N/A;258.4 x 163 x 7.5 mm (10.17 x 6.42 x 0.30 in);Nano-SIM (cellular model only);490 g (1.08 lb);5.1, A2DP, LE;No;GPS, GLONASS, BDS - cellular model only;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1200 x 2000 pixels, 5:3 ratio (~212 ppi density);11.0 inches, 344.4 cm2 (~81.8% screen-to-body ratio);IPS LCD, 400 nits (typ);N/A;Accelerometer, gyro, proximity;2021, January 07;Available. Released 2021, February 10;N/A;N/A;LED flash;13 MP, (wide), AF;1080p@30fps;N/A;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Slate Grey, Platinum Grey;TB-J606F;About 200 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40, 41;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SM6115 Snapdragon 662 (11 nm);Adreno 610;Android 10;8 MP, (wide);1080p@30fps;N/A;No;Yes, with stereo speakers (4 speakers);N/A
19;Lenovo;Lenovo Tab Plus;https://www.gsmarena.com/lenovo_tab_plus-13164.php;N/A;N/A;45W wired;N/A;N/A;Li-Po 8600 mAh;"Stylus support
Splash resistant
Built-in kickstand";N/A;268.3 x 174.3 x 7.7 - 13.6 mm;No;650 g (1.43 lb);5.2, A2DP, LE;No;GPS, GALILEO, GLONASS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 2000 pixels, 5:3 ratio (~203 ppi density);11.5 inches, 376.4 cm2 (~80.5% screen-to-body ratio);IPS LCD, 90Hz, 400 nits (typ);N/A;Accelerometer, gyro;2024, June 20;Available. Released 2024, June;N/A;N/A;N/A;8 MP, AF;1080p@30fps;UFS 2.2;microSDXC (dedicated slot);128GB 8GB RAM, 256GB 8GB RAM;Luna grey;N/A;About 280 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G99 (6 nm);Mali-G57 MC2;Android 14;8 MP;1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers (8 JBL Hi-Fi speakers);N/A
20;Lenovo;Lenovo Tab P11 5G;https://www.gsmarena.com/lenovo_tab_p11_5g-11091.php;N/A;N/A;20W wired;N/A;N/A;Li-Po 7700 mAh;Stylus support;N/A;258 x 163 x 7.9 mm (10.16 x 6.42 x 0.31 in);Nano-SIM;520 g (1.15 lb);5.1, A2DP, LE;No;GPS, GLONASS, BDS;No;USB Type-C 3.2, DisplayPort;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1200 x 2000 pixels, 5:3 ratio (~212 ppi density);11.0 inches, 344.4 cm2 (~81.9% screen-to-body ratio);IPS LCD, Dolby Vision, 400 nits (typ);N/A;Accelerometer, gyro, proximity;2021, September 08;Available. Released 2021, December 15;N/A;N/A;LED flash;13 MP, (wide), AF;1080p@30fps;N/A;microSDXC (dedicated slot);128GB 6GB RAM, 256GB 8GB RAM;Moon White, Storm Grey, Modernist Teal;N/A;About 500 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 26, 28, 34, 38, 39, 40, 41;1, 3, 7, 8, 20, 28, 38, 41, 77, 78, 79 SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570);Qualcomm SM7225 Snapdragon 750G 5G (8 nm);Adreno 619;Android 11;"8 MP, (wide)
IR TOF 3D, (biometrics sensor only)";1080p@30fps;JBL speakers;No;Yes, with stereo speakers (4 speakers);N/A
21;Lenovo;Lenovo Tab P11 Pro Gen 2;https://www.gsmarena.com/lenovo_tab_p11_pro_gen_2-11841.php;N/A;N/A;20W wired, QC3;N/A;N/A;Li-Po 8200 mAh;Stylus support (magnetic);Glass front, plastic back, plastic frame;263.7 x 166.7 x 6.8 mm (10.38 x 6.56 x 0.27 in);Nano-SIM (cellular model only);480 g (1.06 lb);5.1, A2DP, LE;No;GPS, GLONASS - cellular model only;No;USB Type-C 3.0, OTG, magnetic connector, video output;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1536 x 2560 pixels, 5:3 ratio (~267 ppi density);11.2 inches, 357.0 cm2 (~81.2% screen-to-body ratio);OLED, HDR10+, Dolby Vision, 120Hz, 420 nits (typ), 600 nits (peak);N/A;Accelerometer, gyro, proximity, compass;2022, September 01;Available. Released 2022, September 01;N/A;N/A;LED flash;13 MP, f/2.4, (wide), AF;1080p@30fps;UFS 3.1;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM;Storm Grey, Oat;ZAB50194GB, ZAB50043SE;About 500 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek MT8797 Kompanio 1300T (6 nm);Mali-G77 MC9;Android 12, upgradable to Android 13;8 MP;1080p@30fps;Tuned by JBL;No;Yes, with stereo speakers (4 speakers);"AnTuTu: 616573 (v9)
GeekBench: 2827 (v5.1)"
22;Lenovo;Lenovo Tab 4 8 Plus;https://www.gsmarena.com/lenovo_tab_4_8_plus-8603.php;N/A;N/A;10W wired;N/A;N/A;Li-Po 4850 mAh, non-removable;N/A;N/A;210 x 123 x 7 mm (8.27 x 4.84 x 0.28 in);Nano-SIMNano-SIM + Nano-SIM - cellular model only;300 g (10.58 oz);4.2, A2DP, LE;No;GPS, GLONASS, BDS - cellular model only;FM radio;USB Type-C 3.0 (TB-8704V), USB Type-C 2.0 (all other versions);Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 1920 pixels, 16:10 ratio (~283 ppi density);8.0 inches, 185.6 cm2 (~71.8% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, proximity (8704X/8704N only);2017, February. Released 2017, July;Discontinued;N/A;N/A;LED flash;8 MP, AF;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);16GB 3GB RAM, 64GB 4GB RAM;Aurora Black, Sparkling White;TB-8704X;About 200 EUR;1, 3, 7, 38, 39, 40, 41 - China;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (TB-8704X/TB-8704N only);HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 38, 40 - Global;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps - cellular model only;GSM / CDMA / HSPA / LTE;Octa-core 2.0 GHz Cortex-A53;Qualcomm MSM8953 Snapdragon 625 (14 nm) - Wi-Fi/LTEQualcomm APQ8053 - Wi-Fi only;Adreno 506;Android 7.0 (Nougat);5 MP;;N/A;Yes;Yes, dual speakers;N/A
23;Lenovo;Lenovo Tab M11;https://www.gsmarena.com/lenovo_tab_m11-12783.php;N/A;N/A;15W wired;N/A;N/A;Li-Po 7040 mAh;Stylus support;Glass front, aluminum frame, aluminum back;166.3 x 255.3 x 7.2 mm (6.55 x 10.05 x 0.28 in);Nano-SIM;465 g (1.03 lb);5.1, A2DP, LE;No;GPS, GLONASS, BDS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 1920 pixels, 16:10 ratio (~206 ppi density);11.0 inches, 350.9 cm2 (~82.6% screen-to-body ratio);IPS LCD, 90Hz, 400 nits (typ);N/A;Accelerometer, gyro, proximity (accessories only);2024, January 09;Available. Released 2024, April;N/A;N/A;LED flash;"13 MP, f/2.2, (wide)
or
8 MP, f/2.0, (wide)";1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM;Luna grey, Seafoam green;TB330FU;About 170 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 19, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66, 71;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769H Helio G88 (12 nm);Mali-G52 MC2;Android 13;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers (4 speakers);N/A
24;Lenovo;Lenovo Tab3 8 Plus;https://www.gsmarena.com/lenovo_tab3_8_plus-8559.php;N/A;N/A;N/A;N/A;N/A;Li-Po 4250 mAh, non-removable;N/A;N/A;210 x 125 x 8.9 mm (8.27 x 4.92 x 0.35 in);Micro-SIM - cellular model only;329 g (11.61 oz);4.0, A2DP;No;GPS, GLONASS - cellular model only;No;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 1920 pixels, 16:10 ratio (~283 ppi density);8.0 inches, 185.6 cm2 (~70.7% screen-to-body ratio);IPS LCD;"MP3/WAV/WMA/AAC player
MP4/H.264 player
Document viewer
Photo viewer/editor";Accelerometer, proximity, compass;2017, March. Released 2017, March;Discontinued;N/A;N/A;HDR, panorama;8 MP, AF;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);16GB 3GB RAM;Black, White;TB-8703X;About 170 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core 2.0 GHz Cortex-A53;Qualcomm MSM8953 Snapdragon 625 (14 nm);Adreno 506;Android 6.0.1 (Marshmallow);5 MP;;N/A;Yes;Yes, with stereo speakers;N/A
25;Lenovo;Lenovo Tab P11 Pro;https://www.gsmarena.com/lenovo_tab_p11_pro-10405.php;N/A;N/A;20W wired;N/A;N/A;Li-Po 8600 mAh;Stylus support;Glass front, aluminum frame, aluminum back;264.3 x 171.4 x 6.9 mm (10.41 x 6.75 x 0.27 in);Nano-SIM (cellular model only);485 g (1.07 lb);5.0, A2DP, LE;No;GPS, GLONASS, BDS - cellular model only;Unspecified;USB Type-C 3.2;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1600 x 2560 pixels, 16:10 ratio (~263 ppi density);11.5 inches, 383.5 cm2 (~84.6% screen-to-body ratio);OLED, HDR10, Dolby Vision, 500 nits (typ);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity;2020, August 31;Available. Released 2020, December 14;N/A;"13 MP, (wide), AF
5 MP, (ultrawide)";N/A;N/A;1080p@30fps;N/A;microSDXC;128GB 4GB RAM, 128GB 6GB RAM;Slate Grey, Platinum Grey;TB-J706F;About 550 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver);Qualcomm SDM730 Snapdragon 730G (8 nm);Adreno 618;Android 10;"8 MP, (wide)
8 MP, IR TOF 3D, (biometrics sensor only)";;N/A;No;Yes, with stereo speakers (4 speakers);N/A
26;Lenovo;Lenovo Tab 7;https://www.gsmarena.com/lenovo_tab_7-8941.php;N/A;N/A;N/A;N/A;N/A;Li-Po 3500 mAh, non-removable;N/A;N/A;193 x 98.7 x 8.4 mm (7.60 x 3.89 x 0.33 in);Nano-SIM (cellular model only);260 g (9.17 oz);4.0, A2DP;No;GPS - cellular model only;No;microUSB 2.0;Wi-Fi 802.11 b/g/n;N/A;720 x 1280 pixels, 16:9 ratio (~210 ppi density);7.0 inches, 135.1 cm2 (~70.9% screen-to-body ratio);IPS LCD;N/A;Accelerometer;2017, November. Released 2017, November;Discontinued;N/A;N/A;N/A;5 MP, AF;Yes;N/A;No;16GB 1GB RAM, 16GB 2GB RAM;Slate Black, White;TB-7504X, TB-7504F, TB-7504N;About 100 EUR;N/A;GSM 900;HSDPA 2100;LTE;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Quad-core 1.3 GHz Cortex-A53;Mediatek MT8161 (28 nm);Mali-T720MP2;Android 7.0 (Nougat);2 MP;;N/A;Yes;Yes;N/A
27;Lenovo;Lenovo Idea Tab Pro;https://www.gsmarena.com/lenovo_idea_tab_pro-13733.php;N/A;N/A;"45W wired
Reverse wired";N/A;N/A;Li-Po 10200 mAh;Stylus support;N/A;291.8 x 189.1 x 6.9 mm (11.49 x 7.44 x 0.27 in);No;620 g (1.37 lb);5.3, A2DP, LE;No;GPS, GALILEO, GLONASS;No;USB Type-C 3.2, DisplayPort, OTG, accessory connector pins;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;Anti-reflection coating (optional);2944 x 1840 pixels, 16:10 ratio (~273 ppi density);12.7 inches, 467.7 cm2 (~84.8% screen-to-body ratio);IPS LCD, 144Hz, HDR10, 400 nits;Circle to Search;Fingerprint (side-mounted), accelerometer, gyro, proximity (accessories only), compass;2025, March 14;Available. Released 2025, March 14;N/A;N/A;LED flash;13 MP, (wide), AF;Yes;"UFS 3.1 - 128GB
UFS 4.0 - 256GB";microSDXC;128GB 8GB RAM, 256GB 8GB RAM;Luna grey, Green;ZAE40142GR;About 350 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510);Mediatek Dimensity 8300 (4 nm);Mali G615-MC6;Android 14, up to 2 major Android upgrades;8 MP;1080p@30fps;"JBL sound
24-bit/192kHz Hi-Res audio";No;Yes, with stereo speakers (4 speakers);N/A
28;Lenovo;Lenovo Tab Extreme;https://www.gsmarena.com/lenovo_tab_extreme-12071.php;N/A;N/A;"68W wired
Reverse wired";N/A;N/A;Li-Po 12300 mAh;Stylus support (Lenovo Precision Pen 3);N/A;327.8 x 210.8 x 5.9 mm (12.91 x 8.30 x 0.23 in);No;740 g (1.63 lb);5.3, A2DP, LE;No;Unspecified;No;USB Type-C 3.2 and USB Type-C 2.0, OTG, DisplayPort, accessory connector;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;N/A;1876 x 3000 pixels, 16:10 ratio (~244 ppi density);14.5 inches, 609.8 cm2 (~88.2% screen-to-body ratio);OLED, 120Hz, HDR10+, Dolby Vision;N/A;Fingerprint (side-mounted), accelerometer, gyro, compass;2023, January 05;Available. Released 2023, June 13;N/A;"13 MP, f/2.4, (wide), AF
5 MP, f/2.2, (ultrawide)";LED flash;N/A;4K@30fps, 1080p@30fps;N/A;microSDXC (dedicated slot);256GB 12GB RAM;Storm Grey;N/A;About 880 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Mediatek Dimensity 9000 (4 nm);Mali-G710 MC10;Android 13;13 MP, (ultrawide);1080p@30fps;JBL speakers;No;Yes, with stereo speakers (8 speakers);N/A
29;Lenovo;Lenovo Tab M10 Gen 3;https://www.gsmarena.com/lenovo_tab_m10_gen_3-12162.php;N/A;N/A;10W wired;N/A;N/A;Li-Po 5100 mAh;N/A;N/A;239.8 x 158.6 x 8.5 mm (9.44 x 6.24 x 0.33 in);Nano-SIM (cellular model only);460 g (1.01 lb);5.0, LE;No;GPS - cellular model only;No;USB Type-C 2.0, OTG, magnetic connector;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 1920 pixels, 16:10 ratio (~224 ppi density);10.1 inches, 295.8 cm2 (~77.8% screen-to-body ratio);IPS LCD, 320 nits (typ);N/A;Accelerometer, proximity;2022, September;Available. Released 2022, September;N/A;N/A;N/A;8 MP, AF;1080p@30fps;eMCP or eMMC 5.1;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM;Storm Grey;N/A;About 200 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40, 41;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Unisoc T610 (12 nm);Mali-G52 MP2;Android 11, upgradable to Android 12;5 MP;Yes;N/A;Yes;Yes, with stereo speakers;N/A
30;Lenovo;Lenovo Pad Pro;https://www.gsmarena.com/lenovo_pad_pro-10925.php;N/A;N/A;20W wired, QC3;N/A;N/A;Li-Po 8600 mAh;Stylus support;Glass front, aluminum frame, aluminum back;264.3 x 171.4 x 5.8 mm (10.41 x 6.75 x 0.23 in);No;485 g (1.07 lb);5.1, A2DP, LE;No;No;No;USB Type-C 3.1, OTG, magnetic connector;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1600 x 2560 pixels, 16:10 ratio (~263 ppi density);11.5 inches, 383.5 cm2 (~84.6% screen-to-body ratio);OLED, HDR10, Dolby Vision, 90Hz, 420 nits (typ), 600 nits (peak);N/A;Infrared Face ID, fingerprint (side-mounted), accelerometer, gyro, proximity;2021, May 24;Available. Released 2021, May 31;N/A;"13 MP, (wide), AF
5 MP, 120˚ (ultrawide)";LED flash;N/A;1080p@30fps;UFS 3.1;microSDXC (dedicated slot);128GB 6GB RAM;Silver;ZA910001CN, TB-J716F;About 320 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585);Qualcomm SM8250-AC Snapdragon 870 5G (7 nm);Adreno 650;Android 11, ZUI 12.5;"8 MP
8 MP, IR TOF 3D, (depth/biometrics sensor)";1080p@30fps;Tuned by JBL;No;Yes, with stereo speakers (4 speakers);N/A
